,Unnamed: 0,topic,fre,keywords
0,0,1,0.078,friend 
1,1,1,0.029,point 
2,2,1,0.025,report 
3,3,1,0.023,interest 
4,4,1,0.021,work 
5,5,1,0.017,regulation 
6,6,1,0.017,change 
7,7,1,0.017,number 
8,8,1,0.016,part 
9,9,1,0.015,state 
10,10,1,0.015,member 
11,11,1,0.011,system 
12,12,1,0.011,defence 
13,13,1,0.011,time 
14,14,1,0.01,reason 
15,15,1,0.01,account 
16,16,1,0.009,matter 
17,17,1,0.008,basis 
18,18,1,0.008,proposal 
19,19,1,0.008,intervention
20,20,2,0.086,people 
21,21,2,0.039,child 
22,22,2,0.03,work 
23,23,2,0.03,school 
24,24,2,0.024,year 
25,25,2,0.023,family 
26,26,2,0.019,support 
27,27,2,0.018,education 
28,28,2,0.015,time 
29,29,2,0.014,number 
30,30,2,0.014,life 
31,31,2,0.012,woman 
32,32,2,0.012,home 
33,33,2,0.012,place 
34,34,2,0.012,week 
35,35,2,0.011,system 
36,36,2,0.01,society 
37,37,2,0.01,parent 
38,38,2,0.01,opportunity 
39,39,2,0.01,care
40,40,3,0.039,industry 
41,41,3,0.036,government 
42,42,3,0.031,business 
43,43,3,0.028,policy 
44,44,3,0.028,company 
45,45,3,0.024,job 
46,46,3,0.019,investment 
47,47,3,0.019,year 
48,48,3,0.018,economy 
49,49,3,0.017,market 
50,50,3,0.017,sector 
51,51,3,0.014,trade 
52,52,3,0.014,employment 
53,53,3,0.013,price 
54,54,3,0.012,time 
55,55,3,0.01,growth 
56,56,3,0.009,unemployment 
57,57,3,0.009,energy 
58,58,3,0.008,consumer 
59,59,3,0.008,worker
60,60,4,0.056,country 
61,61,4,0.032,community 
62,62,4,0.03,people 
63,63,4,0.023,area 
64,64,4,0.018,part 
65,65,4,0.017,development 
66,66,4,0.016,world 
67,67,4,0.013,problem 
68,68,4,0.012,agreement 
69,69,4,0.011,organisation 
70,70,4,0.011,constituency 
71,71,4,0.01,water 
72,72,4,0.01,security 
73,73,4,0.009,region 
74,74,4,0.009,action 
75,75,4,0.008,environment 
76,76,4,0.008,opportunity 
77,77,4,0.007,place 
78,78,4,0.007,role 
79,79,4,0.007,facility
80,80,5,0.178,member 
81,81,5,0.053,friend 
82,82,5,0.047,debate 
83,83,5,0.045,house 
84,84,5,0.027,party 
85,85,5,0.026,opposition 
86,86,5,0.024,time 
87,87,5,0.023,parliament 
88,88,5,0.016,today 
89,89,5,0.015,motion 
90,90,5,0.014,election 
91,91,5,0.013,leader 
92,92,5,0.013,speech 
93,93,5,0.012,vote 
94,94,5,0.011,side 
95,95,5,0.011,point 
96,96,5,0.011,argument 
97,97,5,0.009,labour 
98,98,5,0.009,issue 
99,99,5,0.008,committee
100,100,6,0.06,service 
101,101,6,0.022,time 
102,102,6,0.02,health 
103,103,6,0.017,year 
104,104,6,0.016,area 
105,105,6,0.013,case 
106,106,6,0.013,authority 
107,107,6,0.011,problem 
108,108,6,0.011,staff 
109,109,6,0.011,constituent 
110,110,6,0.011,hospital 
111,111,6,0.011,safety 
112,112,6,0.011,transport 
113,113,6,0.01,road 
114,114,6,0.01,risk 
115,115,6,0.01,hour 
116,116,6,0.009,people 
117,117,6,0.009,system 
118,118,6,0.009,line 
119,119,6,0.009,patient
120,120,7,0.063,government 
121,121,7,0.052,year 
122,122,7,0.027,money 
123,123,7,0.024,tax 
124,124,7,0.023,benefit 
125,125,7,0.022,scheme 
126,126,7,0.021,rate 
127,127,7,0.019,cost 
128,128,7,0.019,increase 
129,129,7,0.018,people 
130,130,7,0.016,budget 
131,131,7,0.015,figure 
132,132,7,0.014,income 
133,133,7,0.014,council 
134,134,7,0.014,housing 
135,135,7,0.013,pension 
136,136,7,0.011,fund 
137,137,7,0.011,expenditure 
138,138,7,0.01,support 
139,139,7,0.01,amount
140,140,8,0.06,bill 
141,141,8,0.035,order 
142,142,8,0.034,case 
143,143,8,0.028,amendment 
144,144,8,0.025,clause 
145,145,8,0.024,power 
146,146,8,0.024,legislation 
147,147,8,0.022,provision 
148,148,8,0.021,law 
149,149,8,0.018,police 
150,150,8,0.017,information 
151,151,8,0.014,person 
152,152,8,0.013,committee 
153,153,8,0.012,court 
154,154,8,0.011,purpose 
155,155,8,0.01,act 
156,156,8,0.009,section 
157,157,8,0.009,place 
158,158,8,0.009,authority 
159,159,8,0.008,duty
160,160,9,0.101,government 
161,161,9,0.045,question 
162,162,9,0.039,issue 
163,163,9,0.036,matter 
164,164,9,0.032,decision 
165,165,9,0.028,minister 
166,166,9,0.026,point 
167,167,9,0.022,statement 
168,168,9,0.02,proposal 
169,169,9,0.017,secretary 
170,170,9,0.016,view 
171,171,9,0.015,concern 
172,172,9,0.014,answer 
173,173,9,0.014,office 
174,174,9,0.012,discussion 
175,175,9,0.012,position 
176,176,9,0.012,word 
177,177,9,0.011,response 
178,178,9,0.011,policy 
179,179,9,0.011,process
